stage,method,seed,status,path,timestamp
fedprox_natural,fedprox_mu_0p0,7,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p0_seed_7_rounds.csv,1777512822.977262
fedprox_natural,fedprox_mu_0p0,11,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p0_seed_11_rounds.csv,1777512844.077975
fedprox_natural,fedprox_mu_0p0,19,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p0_seed_19_rounds.csv,1777512859.477545
fedprox_natural,fedprox_mu_0p0,23,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p0_seed_23_rounds.csv,1777512883.015161
fedprox_natural,fedprox_mu_0p0,29,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p0_seed_29_rounds.csv,1777512897.849644
fedprox_natural,fedprox_mu_0p0,31,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p0_seed_31_rounds.csv,1777512916.0322392
fedprox_natural,fedprox_mu_0p0,37,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p0_seed_37_rounds.csv,1777512931.469013
fedprox_natural,fedprox_mu_0p0,41,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p0_seed_41_rounds.csv,1777512955.390729
fedprox_natural,fedprox_mu_0p0,43,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p0_seed_43_rounds.csv,1777512971.398875
fedprox_natural,fedprox_mu_0p0,47,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p0_seed_47_rounds.csv,1777512991.453624
fedprox_natural,fedprox_mu_0p001,7,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p001_seed_7_rounds.csv,1777513009.590295
fedprox_natural,fedprox_mu_0p001,11,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p001_seed_11_rounds.csv,1777513028.192878
fedprox_natural,fedprox_mu_0p001,19,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p001_seed_19_rounds.csv,1777513052.213232
fedprox_natural,fedprox_mu_0p001,23,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p001_seed_23_rounds.csv,1777513077.168996
fedprox_natural,fedprox_mu_0p001,29,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p001_seed_29_rounds.csv,1777513106.2677279
fedprox_natural,fedprox_mu_0p001,31,done,outputs/full_mimic_iv_proposal_alignment/raw/fedprox_mu_0p001_seed_31_rounds.csv,1777513126.259905
