synthetic_client_id,original_slot,split,rows,deaths,mortality_rate,beta,seed
0,0,train,1829,207,0.1131765992345544,infinity,31
0,0,test,610,73,0.11967213114754098,infinity,31
1,1,train,1829,225,0.12301804264625478,infinity,31
1,1,test,610,68,0.11147540983606558,infinity,31
2,2,train,1829,216,0.1180973209404046,infinity,31
2,2,test,610,70,0.11475409836065574,infinity,31
3,3,train,1829,203,0.11098961180973209,infinity,31
3,3,test,610,69,0.11311475409836065,infinity,31
4,4,train,1829,215,0.11755057408419901,infinity,31
4,4,test,610,74,0.12131147540983607,infinity,31
5,5,train,1829,208,0.11372334609075997,infinity,31
5,5,test,610,66,0.10819672131147541,infinity,31
6,6,train,1829,204,0.11153635866593767,infinity,31
6,6,test,610,66,0.10819672131147541,infinity,31
7,7,train,1829,220,0.1202843083652269,infinity,31
7,7,test,610,70,0.11475409836065574,infinity,31
8,8,train,1829,195,0.10661563696008748,infinity,31
8,8,test,610,59,0.09672131147540984,infinity,31
9,9,train,1829,202,0.11044286495352652,infinity,31
9,9,test,610,68,0.11147540983606558,infinity,31
10,10,train,1829,217,0.11864406779661017,infinity,31
10,10,test,610,73,0.11967213114754098,infinity,31
11,11,train,1829,188,0.10278840896664844,infinity,31
11,11,test,610,71,0.11639344262295082,infinity,31
12,12,train,1829,204,0.11153635866593767,infinity,31
12,12,test,610,64,0.10491803278688525,infinity,31
13,13,train,1828,176,0.0962800875273523,infinity,31
13,13,test,610,85,0.13934426229508196,infinity,31
14,14,train,1828,215,0.11761487964989059,infinity,31
14,14,test,610,79,0.12950819672131147,infinity,31
15,15,train,1828,213,0.11652078774617068,infinity,31
15,15,test,610,59,0.09672131147540984,infinity,31
16,16,train,1828,215,0.11761487964989059,infinity,31
16,16,test,610,70,0.11475409836065574,infinity,31
17,17,train,1828,183,0.10010940919037199,infinity,31
17,17,test,610,62,0.10163934426229508,infinity,31
18,18,train,1828,192,0.1050328227571116,infinity,31
18,18,test,609,64,0.10509031198686371,infinity,31
19,19,train,1828,214,0.11706783369803063,infinity,31
19,19,test,609,83,0.13628899835796388,infinity,31
20,20,train,1828,216,0.11816192560175055,infinity,31
20,20,test,609,59,0.09688013136288999,infinity,31
21,21,train,1828,214,0.11706783369803063,infinity,31
21,21,test,609,71,0.11658456486042693,infinity,31
22,22,train,1828,208,0.1137855579868709,infinity,31
22,22,test,609,67,0.11001642036124795,infinity,31
23,23,train,1828,217,0.1187089715536105,infinity,31
23,23,test,609,61,0.10016420361247948,infinity,31
24,24,train,1828,213,0.11652078774617068,infinity,31
24,24,test,609,69,0.11330049261083744,infinity,31
25,25,train,1828,202,0.11050328227571116,infinity,31
25,25,test,609,69,0.11330049261083744,infinity,31
26,26,train,1828,229,0.12527352297592997,infinity,31
26,26,test,609,63,0.10344827586206896,infinity,31
27,27,train,1828,223,0.12199124726477024,infinity,31
27,27,test,609,65,0.10673234811165845,infinity,31
28,28,train,1828,218,0.11925601750547046,infinity,31
28,28,test,609,88,0.1444991789819376,infinity,31
29,29,train,1828,203,0.11105032822757112,infinity,31
29,29,test,609,80,0.13136288998357964,infinity,31
