synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,2296,690,1.0,29
1,1,1998,420,1.0,29
2,2,2783,236,1.0,29
3,3,709,1214,1.0,29
4,4,1420,197,1.0,29
5,5,638,351,1.0,29
6,6,729,1448,1.0,29
7,7,1698,925,1.0,29
8,8,529,466,1.0,29
9,9,912,713,1.0,29
10,10,1378,196,1.0,29
11,11,1114,982,1.0,29
12,12,261,95,1.0,29
13,13,3223,415,1.0,29
14,14,4770,111,1.0,29
15,15,2400,565,1.0,29
16,16,1814,400,1.0,29
17,17,582,180,1.0,29
18,18,1197,1236,1.0,29
19,19,1894,700,1.0,29
20,20,135,789,1.0,29
21,21,100,1124,1.0,29
22,22,1564,303,1.0,29
23,23,697,296,1.0,29
24,24,5896,1323,1.0,29
25,25,401,801,1.0,29
26,26,470,931,1.0,29
27,27,1938,158,1.0,29
28,28,4629,331,1.0,29
29,29,6678,692,1.0,29
