synthetic_client_id,original_slot,split,rows,deaths,mortality_rate,beta,seed
0,0,train,4266,24,0.005625879043600563,1.0,19
0,0,test,903,2,0.0022148394241417496,1.0,19
1,1,train,1235,320,0.2591093117408907,1.0,19
1,1,test,585,170,0.2905982905982906,1.0,19
2,2,train,1878,178,0.09478168264110756,1.0,19
2,2,test,264,102,0.38636363636363635,1.0,19
3,3,train,1147,79,0.06887532693984307,1.0,19
3,3,test,985,300,0.30456852791878175,1.0,19
4,4,train,802,286,0.3566084788029925,1.0,19
4,4,test,225,9,0.04,1.0,19
5,5,train,2045,46,0.022493887530562348,1.0,19
5,5,test,108,27,0.25,1.0,19
6,6,train,1763,332,0.1883153715258083,1.0,19
6,6,test,132,34,0.25757575757575757,1.0,19
7,7,train,755,303,0.4013245033112583,1.0,19
7,7,test,237,51,0.21518987341772153,1.0,19
8,8,train,1752,202,0.11529680365296803,1.0,19
8,8,test,358,65,0.18156424581005587,1.0,19
9,9,train,2110,324,0.15355450236966825,1.0,19
9,9,test,473,209,0.4418604651162791,1.0,19
10,10,train,582,122,0.20962199312714777,1.0,19
10,10,test,237,7,0.029535864978902954,1.0,19
11,11,train,2094,188,0.08978032473734479,1.0,19
11,11,test,2035,14,0.0068796068796068794,1.0,19
12,12,train,1541,137,0.08890330953926022,1.0,19
12,12,test,276,90,0.32608695652173914,1.0,19
13,13,train,3642,530,0.1455244371224602,1.0,19
13,13,test,2145,54,0.025174825174825177,1.0,19
14,14,train,3716,0,0.0,1.0,19
14,14,test,669,43,0.06427503736920777,1.0,19
15,15,train,1438,299,0.20792767732962447,1.0,19
15,15,test,517,159,0.30754352030947774,1.0,19
16,16,train,1175,297,0.2527659574468085,1.0,19
16,16,test,348,28,0.08045977011494253,1.0,19
17,17,train,1471,29,0.01971447994561523,1.0,19
17,17,test,1003,55,0.054835493519441676,1.0,19
18,18,train,738,376,0.5094850948509485,1.0,19
18,18,test,633,37,0.05845181674565561,1.0,19
19,19,train,147,3,0.02040816326530612,1.0,19
19,19,test,576,24,0.041666666666666664,1.0,19
20,20,train,2991,1482,0.4954864593781344,1.0,19
20,20,test,586,81,0.13822525597269625,1.0,19
21,21,train,1407,53,0.037668798862828715,1.0,19
21,21,test,232,16,0.06896551724137931,1.0,19
22,22,train,6013,42,0.006984866123399301,1.0,19
22,22,test,1014,55,0.054240631163708086,1.0,19
23,23,train,1123,147,0.13089937666963491,1.0,19
23,23,test,238,192,0.8067226890756303,1.0,19
24,24,train,1053,25,0.023741690408357077,1.0,19
24,24,test,423,9,0.02127659574468085,1.0,19
25,25,train,701,26,0.037089871611982884,1.0,19
25,25,test,456,3,0.006578947368421052,1.0,19
26,26,train,1519,124,0.08163265306122448,1.0,19
26,26,test,246,23,0.09349593495934959,1.0,19
27,27,train,1550,25,0.016129032258064516,1.0,19
27,27,test,571,53,0.09281961471103327,1.0,19
28,28,train,1587,4,0.002520478890989288,1.0,19
28,28,test,814,19,0.02334152334152334,1.0,19
29,29,train,2612,252,0.09647779479326186,1.0,19
29,29,test,999,154,0.15415415415415415,1.0,19
