synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,2353,967,0.5,23
1,1,6950,1745,0.5,23
2,2,259,386,0.5,23
3,3,1148,997,0.5,23
4,4,2241,8,0.5,23
5,5,348,789,0.5,23
6,6,117,263,0.5,23
7,7,1713,200,0.5,23
8,8,498,241,0.5,23
9,9,225,1060,0.5,23
10,10,4044,113,0.5,23
11,11,1350,160,0.5,23
12,12,827,165,0.5,23
13,13,1661,248,0.5,23
14,14,1757,2508,0.5,23
15,15,313,98,0.5,23
16,16,8870,1367,0.5,23
17,17,1757,1177,0.5,23
18,18,424,803,0.5,23
19,19,692,617,0.5,23
20,20,848,126,0.5,23
21,21,180,411,0.5,23
22,22,221,848,0.5,23
23,23,2399,646,0.5,23
24,24,2514,325,0.5,23
25,25,793,79,0.5,23
26,26,498,924,0.5,23
27,27,848,485,0.5,23
28,28,8322,261,0.5,23
29,29,683,271,0.5,23
