synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,5317,558,0.5,19
1,1,2314,272,0.5,19
2,2,568,27,0.5,19
3,3,463,1181,0.5,19
4,4,442,122,0.5,19
5,5,899,95,0.5,19
6,6,2145,319,0.5,19
7,7,505,283,0.5,19
8,8,641,283,0.5,19
9,9,1050,196,0.5,19
10,10,2152,214,0.5,19
11,11,357,412,0.5,19
12,12,6036,5,0.5,19
13,13,808,4972,0.5,19
14,14,423,109,0.5,19
15,15,930,811,0.5,19
16,16,5371,398,0.5,19
17,17,2211,84,0.5,19
18,18,879,1550,0.5,19
19,19,1149,25,0.5,19
20,20,1362,149,0.5,19
21,21,5740,2435,0.5,19
22,22,152,1542,0.5,19
23,23,2442,729,0.5,19
24,24,1555,38,0.5,19
25,25,771,179,0.5,19
26,26,2673,200,0.5,19
27,27,687,317,0.5,19
28,28,2646,427,0.5,19
29,29,2165,356,0.5,19
