synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,2134,187,1.0,7
1,1,4340,305,1.0,7
2,2,111,147,1.0,7
3,3,641,771,1.0,7
4,4,2409,137,1.0,7
5,5,809,979,1.0,7
6,6,1078,608,1.0,7
7,7,6198,390,1.0,7
8,8,622,124,1.0,7
9,9,1203,524,1.0,7
10,10,1329,249,1.0,7
11,11,1423,1290,1.0,7
12,12,2879,411,1.0,7
13,13,2508,380,1.0,7
14,14,3073,490,1.0,7
15,15,4449,952,1.0,7
16,16,2007,589,1.0,7
17,17,1017,532,1.0,7
18,18,3707,576,1.0,7
19,19,1887,633,1.0,7
20,20,821,1722,1.0,7
21,21,658,1013,1.0,7
22,22,1598,198,1.0,7
23,23,1466,843,1.0,7
24,24,829,1120,1.0,7
25,25,341,587,1.0,7
26,26,1508,937,1.0,7
27,27,722,384,1.0,7
28,28,1323,956,1.0,7
29,29,1763,254,1.0,7
