synthetic_client_id,original_slot,split,rows,deaths,mortality_rate,beta,seed
0,0,train,2353,416,0.17679558011049723,0.5,23
0,0,test,967,164,0.16959669079627715,0.5,23
1,1,train,6950,786,0.11309352517985612,0.5,23
1,1,test,1745,13,0.007449856733524355,0.5,23
2,2,train,259,37,0.14285714285714285,0.5,23
2,2,test,386,25,0.06476683937823834,0.5,23
3,3,train,1148,265,0.2308362369337979,0.5,23
3,3,test,997,43,0.04312938816449348,0.5,23
4,4,train,2241,105,0.04685408299866131,0.5,23
4,4,test,8,1,0.125,0.5,23
5,5,train,348,92,0.26436781609195403,0.5,23
5,5,test,789,353,0.44740177439797213,0.5,23
6,6,train,117,34,0.2905982905982906,0.5,23
6,6,test,263,48,0.18250950570342206,0.5,23
7,7,train,1713,203,0.11850554582603619,0.5,23
7,7,test,200,114,0.57,0.5,23
8,8,train,498,470,0.9437751004016064,0.5,23
8,8,test,241,14,0.058091286307053944,0.5,23
9,9,train,225,47,0.2088888888888889,0.5,23
9,9,test,1060,113,0.10660377358490566,0.5,23
10,10,train,4044,346,0.08555885262116716,0.5,23
10,10,test,113,71,0.6283185840707964,0.5,23
11,11,train,1350,46,0.034074074074074076,0.5,23
11,11,test,160,28,0.175,0.5,23
12,12,train,827,21,0.02539298669891173,0.5,23
12,12,test,165,52,0.3151515151515151,0.5,23
13,13,train,1661,378,0.2275737507525587,0.5,23
13,13,test,248,167,0.6733870967741935,0.5,23
14,14,train,1757,6,0.003414911781445646,0.5,23
14,14,test,2508,1,0.00039872408293460925,0.5,23
15,15,train,313,88,0.28115015974440893,0.5,23
15,15,test,98,1,0.01020408163265306,0.5,23
16,16,train,8870,23,0.002593010146561443,0.5,23
16,16,test,1367,10,0.0073152889539136795,0.5,23
17,17,train,1757,972,0.5532157085941947,0.5,23
17,17,test,1177,27,0.022939677145284623,0.5,23
18,18,train,424,250,0.589622641509434,0.5,23
18,18,test,803,1,0.0012453300124533001,0.5,23
19,19,train,692,8,0.011560693641618497,0.5,23
19,19,test,617,193,0.31280388978930307,0.5,23
20,20,train,848,395,0.4658018867924528,0.5,23
20,20,test,126,76,0.6031746031746031,0.5,23
21,21,train,180,5,0.027777777777777776,0.5,23
21,21,test,411,38,0.09245742092457421,0.5,23
22,22,train,221,4,0.01809954751131222,0.5,23
22,22,test,848,77,0.09080188679245282,0.5,23
23,23,train,2399,32,0.013338891204668612,0.5,23
23,23,test,646,55,0.08513931888544891,0.5,23
24,24,train,2514,87,0.034606205250596656,0.5,23
24,24,test,325,155,0.47692307692307695,0.5,23
25,25,train,793,491,0.6191677175283733,0.5,23
25,25,test,79,3,0.0379746835443038,0.5,23
26,26,train,498,112,0.2248995983935743,0.5,23
26,26,test,924,18,0.01948051948051948,0.5,23
27,27,train,848,180,0.21226415094339623,0.5,23
27,27,test,485,130,0.26804123711340205,0.5,23
28,28,train,8322,232,0.027877913962989664,0.5,23
28,28,test,261,60,0.22988505747126436,0.5,23
29,29,train,683,124,0.1815519765739385,0.5,23
29,29,test,271,34,0.12546125461254612,0.5,23
