synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,1829,610,infinity,19
1,1,1829,610,infinity,19
2,2,1829,610,infinity,19
3,3,1829,610,infinity,19
4,4,1829,610,infinity,19
5,5,1829,610,infinity,19
6,6,1829,610,infinity,19
7,7,1829,610,infinity,19
8,8,1829,610,infinity,19
9,9,1829,610,infinity,19
10,10,1829,610,infinity,19
11,11,1829,610,infinity,19
12,12,1829,610,infinity,19
13,13,1828,610,infinity,19
14,14,1828,610,infinity,19
15,15,1828,610,infinity,19
16,16,1828,610,infinity,19
17,17,1828,610,infinity,19
18,18,1828,609,infinity,19
19,19,1828,609,infinity,19
20,20,1828,609,infinity,19
21,21,1828,609,infinity,19
22,22,1828,609,infinity,19
23,23,1828,609,infinity,19
24,24,1828,609,infinity,19
25,25,1828,609,infinity,19
26,26,1828,609,infinity,19
27,27,1828,609,infinity,19
28,28,1828,609,infinity,19
29,29,1828,609,infinity,19
