synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,1349,747,1.0,37
1,1,3308,208,1.0,37
2,2,109,1964,1.0,37
3,3,10345,642,1.0,37
4,4,123,50,1.0,37
5,5,721,300,1.0,37
6,6,1731,231,1.0,37
7,7,2256,411,1.0,37
8,8,2929,769,1.0,37
9,9,3258,1335,1.0,37
10,10,525,1897,1.0,37
11,11,732,583,1.0,37
12,12,815,540,1.0,37
13,13,4876,321,1.0,37
14,14,218,571,1.0,37
15,15,916,258,1.0,37
16,16,825,313,1.0,37
17,17,494,533,1.0,37
18,18,749,389,1.0,37
19,19,1577,1014,1.0,37
20,20,1443,49,1.0,37
21,21,3023,559,1.0,37
22,22,1942,306,1.0,37
23,23,606,188,1.0,37
24,24,3470,351,1.0,37
25,25,1879,1042,1.0,37
26,26,508,1462,1.0,37
27,27,1921,774,1.0,37
28,28,954,198,1.0,37
29,29,1251,283,1.0,37
