synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,335,88,0.5,41
1,1,1154,1227,0.5,41
2,2,847,590,0.5,41
3,3,3521,104,0.5,41
4,4,2423,51,0.5,41
5,5,142,31,0.5,41
6,6,1455,1045,0.5,41
7,7,1058,399,0.5,41
8,8,556,114,0.5,41
9,9,6826,3306,0.5,41
10,10,1290,880,0.5,41
11,11,5842,2286,0.5,41
12,12,73,307,0.5,41
13,13,118,955,0.5,41
14,14,120,711,0.5,41
15,15,181,367,0.5,41
16,16,8381,162,0.5,41
17,17,5388,468,0.5,41
18,18,1236,378,0.5,41
19,19,1934,36,0.5,41
20,20,1914,314,0.5,41
21,21,1382,215,0.5,41
22,22,914,1010,0.5,41
23,23,145,1883,0.5,41
24,24,624,380,0.5,41
25,25,1437,55,0.5,41
26,26,1995,708,0.5,41
27,27,2636,88,0.5,41
28,28,269,60,0.5,41
29,29,657,70,0.5,41
