synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,2503,438,1.0,23
1,1,209,337,1.0,23
2,2,596,481,1.0,23
3,3,1389,779,1.0,23
4,4,714,414,1.0,23
5,5,2192,493,1.0,23
6,6,2523,532,1.0,23
7,7,6835,917,1.0,23
8,8,1741,108,1.0,23
9,9,1119,571,1.0,23
10,10,2611,504,1.0,23
11,11,911,1653,1.0,23
12,12,4308,154,1.0,23
13,13,647,703,1.0,23
14,14,1602,1435,1.0,23
15,15,275,472,1.0,23
16,16,1294,99,1.0,23
17,17,1108,1504,1.0,23
18,18,1484,379,1.0,23
19,19,3835,557,1.0,23
20,20,876,779,1.0,23
21,21,2521,801,1.0,23
22,22,251,173,1.0,23
23,23,2306,603,1.0,23
24,24,1417,60,1.0,23
25,25,1977,390,1.0,23
26,26,4233,289,1.0,23
27,27,1417,2100,1.0,23
28,28,1121,232,1.0,23
29,29,838,331,1.0,23
