synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,795,34,0.5,43
1,1,555,698,0.5,43
2,2,708,813,0.5,43
3,3,239,2950,0.5,43
4,4,2041,1811,0.5,43
5,5,1274,690,0.5,43
6,6,541,173,0.5,43
7,7,1488,2100,0.5,43
8,8,1163,15,0.5,43
9,9,2546,548,0.5,43
10,10,576,225,0.5,43
11,11,728,450,0.5,43
12,12,296,364,0.5,43
13,13,356,1139,0.5,43
14,14,4804,679,0.5,43
15,15,175,834,0.5,43
16,16,2202,578,0.5,43
17,17,589,59,0.5,43
18,18,5195,29,0.5,43
19,19,4049,287,0.5,43
20,20,949,3,0.5,43
21,21,3510,982,0.5,43
22,22,830,320,0.5,43
23,23,4261,199,0.5,43
24,24,4616,412,0.5,43
25,25,5927,41,0.5,43
26,26,33,869,0.5,43
27,27,202,281,0.5,43
28,28,1393,480,0.5,43
29,29,2812,225,0.5,43
