synthetic_client_id,original_slot,split,rows,deaths,mortality_rate,beta,seed
0,0,train,1829,215,0.11755057408419901,infinity,41
0,0,test,610,62,0.10163934426229508,infinity,41
1,1,train,1829,238,0.13012575177692728,infinity,41
1,1,test,610,74,0.12131147540983607,infinity,41
2,2,train,1829,224,0.1224712957900492,infinity,41
2,2,test,610,67,0.10983606557377049,infinity,41
3,3,train,1829,210,0.11481683980317113,infinity,41
3,3,test,610,70,0.11475409836065574,infinity,41
4,4,train,1829,193,0.10552214324767632,infinity,41
4,4,test,610,67,0.10983606557377049,infinity,41
5,5,train,1829,201,0.10989611809732094,infinity,41
5,5,test,610,75,0.12295081967213115,infinity,41
6,6,train,1829,210,0.11481683980317113,infinity,41
6,6,test,610,74,0.12131147540983607,infinity,41
7,7,train,1829,219,0.11973756150902132,infinity,41
7,7,test,610,62,0.10163934426229508,infinity,41
8,8,train,1829,211,0.11536358665937671,infinity,41
8,8,test,610,70,0.11475409836065574,infinity,41
9,9,train,1829,227,0.12411153635866594,infinity,41
9,9,test,610,66,0.10819672131147541,infinity,41
10,10,train,1829,211,0.11536358665937671,infinity,41
10,10,test,610,82,0.13442622950819672,infinity,41
11,11,train,1829,204,0.11153635866593767,infinity,41
11,11,test,610,88,0.14426229508196722,infinity,41
12,12,train,1829,194,0.1060688901038819,infinity,41
12,12,test,610,75,0.12295081967213115,infinity,41
13,13,train,1828,196,0.10722100656455143,infinity,41
13,13,test,610,84,0.1377049180327869,infinity,41
14,14,train,1828,198,0.10831509846827134,infinity,41
14,14,test,610,68,0.11147540983606558,infinity,41
15,15,train,1828,208,0.1137855579868709,infinity,41
15,15,test,610,78,0.12786885245901639,infinity,41
16,16,train,1828,200,0.10940919037199125,infinity,41
16,16,test,610,64,0.10491803278688525,infinity,41
17,17,train,1828,227,0.12417943107221006,infinity,41
17,17,test,610,69,0.11311475409836065,infinity,41
18,18,train,1828,207,0.11323851203501094,infinity,41
18,18,test,609,73,0.11986863711001643,infinity,41
19,19,train,1828,215,0.11761487964989059,infinity,41
19,19,test,609,73,0.11986863711001643,infinity,41
20,20,train,1828,208,0.1137855579868709,infinity,41
20,20,test,609,61,0.10016420361247948,infinity,41
21,21,train,1828,205,0.11214442013129103,infinity,41
21,21,test,609,66,0.10837438423645321,infinity,41
22,22,train,1828,210,0.11487964989059081,infinity,41
22,22,test,609,67,0.11001642036124795,infinity,41
23,23,train,1828,207,0.11323851203501094,infinity,41
23,23,test,609,58,0.09523809523809523,infinity,41
24,24,train,1828,200,0.10940919037199125,infinity,41
24,24,test,609,69,0.11330049261083744,infinity,41
25,25,train,1828,223,0.12199124726477024,infinity,41
25,25,test,609,72,0.11822660098522167,infinity,41
26,26,train,1828,200,0.10940919037199125,infinity,41
26,26,test,609,63,0.10344827586206896,infinity,41
27,27,train,1828,200,0.10940919037199125,infinity,41
27,27,test,609,70,0.11494252873563218,infinity,41
28,28,train,1828,188,0.10284463894967177,infinity,41
28,28,test,609,61,0.10016420361247948,infinity,41
29,29,train,1828,206,0.11269146608315099,infinity,41
29,29,test,609,57,0.09359605911330049,infinity,41
