synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,1829,610,infinity,23
1,1,1829,610,infinity,23
2,2,1829,610,infinity,23
3,3,1829,610,infinity,23
4,4,1829,610,infinity,23
5,5,1829,610,infinity,23
6,6,1829,610,infinity,23
7,7,1829,610,infinity,23
8,8,1829,610,infinity,23
9,9,1829,610,infinity,23
10,10,1829,610,infinity,23
11,11,1829,610,infinity,23
12,12,1829,610,infinity,23
13,13,1828,610,infinity,23
14,14,1828,610,infinity,23
15,15,1828,610,infinity,23
16,16,1828,610,infinity,23
17,17,1828,610,infinity,23
18,18,1828,609,infinity,23
19,19,1828,609,infinity,23
20,20,1828,609,infinity,23
21,21,1828,609,infinity,23
22,22,1828,609,infinity,23
23,23,1828,609,infinity,23
24,24,1828,609,infinity,23
25,25,1828,609,infinity,23
26,26,1828,609,infinity,23
27,27,1828,609,infinity,23
28,28,1828,609,infinity,23
29,29,1828,609,infinity,23
