synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,1829,610,infinity,29
1,1,1829,610,infinity,29
2,2,1829,610,infinity,29
3,3,1829,610,infinity,29
4,4,1829,610,infinity,29
5,5,1829,610,infinity,29
6,6,1829,610,infinity,29
7,7,1829,610,infinity,29
8,8,1829,610,infinity,29
9,9,1829,610,infinity,29
10,10,1829,610,infinity,29
11,11,1829,610,infinity,29
12,12,1829,610,infinity,29
13,13,1828,610,infinity,29
14,14,1828,610,infinity,29
15,15,1828,610,infinity,29
16,16,1828,610,infinity,29
17,17,1828,610,infinity,29
18,18,1828,609,infinity,29
19,19,1828,609,infinity,29
20,20,1828,609,infinity,29
21,21,1828,609,infinity,29
22,22,1828,609,infinity,29
23,23,1828,609,infinity,29
24,24,1828,609,infinity,29
25,25,1828,609,infinity,29
26,26,1828,609,infinity,29
27,27,1828,609,infinity,29
28,28,1828,609,infinity,29
29,29,1828,609,infinity,29
