synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,1829,610,infinity,43
1,1,1829,610,infinity,43
2,2,1829,610,infinity,43
3,3,1829,610,infinity,43
4,4,1829,610,infinity,43
5,5,1829,610,infinity,43
6,6,1829,610,infinity,43
7,7,1829,610,infinity,43
8,8,1829,610,infinity,43
9,9,1829,610,infinity,43
10,10,1829,610,infinity,43
11,11,1829,610,infinity,43
12,12,1829,610,infinity,43
13,13,1828,610,infinity,43
14,14,1828,610,infinity,43
15,15,1828,610,infinity,43
16,16,1828,610,infinity,43
17,17,1828,610,infinity,43
18,18,1828,609,infinity,43
19,19,1828,609,infinity,43
20,20,1828,609,infinity,43
21,21,1828,609,infinity,43
22,22,1828,609,infinity,43
23,23,1828,609,infinity,43
24,24,1828,609,infinity,43
25,25,1828,609,infinity,43
26,26,1828,609,infinity,43
27,27,1828,609,infinity,43
28,28,1828,609,infinity,43
29,29,1828,609,infinity,43
