synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,366,427,0.5,11
1,1,90,114,0.5,11
2,2,401,114,0.5,11
3,3,2415,341,0.5,11
4,4,6557,2741,0.5,11
5,5,415,289,0.5,11
6,6,3843,111,0.5,11
7,7,478,192,0.5,11
8,8,3111,1719,0.5,11
9,9,730,157,0.5,11
10,10,573,224,0.5,11
11,11,547,341,0.5,11
12,12,102,1387,0.5,11
13,13,7272,376,0.5,11
14,14,4974,132,0.5,11
15,15,2414,149,0.5,11
16,16,1800,41,0.5,11
17,17,2293,213,0.5,11
18,18,152,3068,0.5,11
19,19,1006,47,0.5,11
20,20,1597,1689,0.5,11
21,21,7336,638,0.5,11
22,22,213,1031,0.5,11
23,23,384,57,0.5,11
24,24,2320,43,0.5,11
25,25,831,601,0.5,11
26,26,581,1294,0.5,11
27,27,962,145,0.5,11
28,28,155,69,0.5,11
29,29,935,538,0.5,11
