synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,72,171,1.0,11
1,1,303,1136,1.0,11
2,2,487,290,1.0,11
3,3,515,286,1.0,11
4,4,3840,71,1.0,11
5,5,2937,429,1.0,11
6,6,973,812,1.0,11
7,7,1271,313,1.0,11
8,8,3560,680,1.0,11
9,9,482,1720,1.0,11
10,10,7952,1037,1.0,11
11,11,836,1187,1.0,11
12,12,1017,384,1.0,11
13,13,1737,922,1.0,11
14,14,3569,179,1.0,11
15,15,395,112,1.0,11
16,16,3814,197,1.0,11
17,17,5627,676,1.0,11
18,18,2523,3195,1.0,11
19,19,3189,183,1.0,11
20,20,1316,413,1.0,11
21,21,258,288,1.0,11
22,22,1518,491,1.0,11
23,23,560,293,1.0,11
24,24,375,386,1.0,11
25,25,1303,203,1.0,11
26,26,1872,1118,1.0,11
27,27,1507,168,1.0,11
28,28,362,626,1.0,11
29,29,683,322,1.0,11
