synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,866,1347,1.0,47
1,1,3060,596,1.0,47
2,2,2481,1418,1.0,47
3,3,388,80,1.0,47
4,4,510,576,1.0,47
5,5,246,581,1.0,47
6,6,1180,141,1.0,47
7,7,1452,1624,1.0,47
8,8,6186,295,1.0,47
9,9,1626,583,1.0,47
10,10,206,511,1.0,47
11,11,1230,836,1.0,47
12,12,3593,856,1.0,47
13,13,873,133,1.0,47
14,14,338,268,1.0,47
15,15,4372,339,1.0,47
16,16,2963,603,1.0,47
17,17,386,398,1.0,47
18,18,2198,311,1.0,47
19,19,4750,232,1.0,47
20,20,1867,838,1.0,47
21,21,657,44,1.0,47
22,22,3769,261,1.0,47
23,23,231,1630,1.0,47
24,24,1583,664,1.0,47
25,25,4364,123,1.0,47
26,26,488,1000,1.0,47
27,27,119,839,1.0,47
28,28,317,914,1.0,47
29,29,2554,247,1.0,47
