synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,2445,199,1.0,41
1,1,778,790,1.0,41
2,2,160,1739,1.0,41
3,3,498,201,1.0,41
4,4,725,465,1.0,41
5,5,4258,92,1.0,41
6,6,848,411,1.0,41
7,7,1141,856,1.0,41
8,8,5737,159,1.0,41
9,9,2105,2598,1.0,41
10,10,2197,201,1.0,41
11,11,187,154,1.0,41
12,12,1244,1666,1.0,41
13,13,1274,180,1.0,41
14,14,1395,529,1.0,41
15,15,475,204,1.0,41
16,16,476,267,1.0,41
17,17,3423,1952,1.0,41
18,18,1112,885,1.0,41
19,19,633,505,1.0,41
20,20,2468,803,1.0,41
21,21,1287,623,1.0,41
22,22,2428,618,1.0,41
23,23,1302,211,1.0,41
24,24,1463,34,1.0,41
25,25,1958,137,1.0,41
26,26,548,133,1.0,41
27,27,4562,296,1.0,41
28,28,339,979,1.0,41
29,29,7387,401,1.0,41
