synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,826,2426,0.5,29
1,1,4553,196,0.5,29
2,2,1302,678,0.5,29
3,3,579,756,0.5,29
4,4,1935,354,0.5,29
5,5,3652,75,0.5,29
6,6,474,31,0.5,29
7,7,2831,4,0.5,29
8,8,921,96,0.5,29
9,9,1748,766,0.5,29
10,10,124,115,0.5,29
11,11,1315,297,0.5,29
12,12,386,84,0.5,29
13,13,994,651,0.5,29
14,14,4726,1753,0.5,29
15,15,6216,119,0.5,29
16,16,880,883,0.5,29
17,17,43,2114,0.5,29
18,18,574,206,0.5,29
19,19,286,189,0.5,29
20,20,1695,156,0.5,29
21,21,297,301,0.5,29
22,22,3957,122,0.5,29
23,23,947,171,0.5,29
24,24,172,505,0.5,29
25,25,1731,540,0.5,29
26,26,18,3550,0.5,29
27,27,9881,160,0.5,29
28,28,768,819,0.5,29
29,29,1022,171,0.5,29
