synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,830,37,0.5,7
1,1,57,9,0.5,7
2,2,2753,97,0.5,7
3,3,1237,405,0.5,7
4,4,182,788,0.5,7
5,5,1090,236,0.5,7
6,6,690,152,0.5,7
7,7,6611,1480,0.5,7
8,8,1335,827,0.5,7
9,9,12963,1137,0.5,7
10,10,679,5036,0.5,7
11,11,7035,128,0.5,7
12,12,510,1611,0.5,7
13,13,1255,1033,0.5,7
14,14,545,576,0.5,7
15,15,1456,269,0.5,7
16,16,274,34,0.5,7
17,17,216,1689,0.5,7
18,18,1123,15,0.5,7
19,19,1887,94,0.5,7
20,20,917,260,0.5,7
21,21,1443,272,0.5,7
22,22,405,390,0.5,7
23,23,258,44,0.5,7
24,24,65,219,0.5,7
25,25,1922,214,0.5,7
26,26,1707,259,0.5,7
27,27,2123,51,0.5,7
28,28,647,891,0.5,7
29,29,2638,35,0.5,7
