synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,443,442,0.5,47
1,1,95,268,0.5,47
2,2,1041,36,0.5,47
3,3,3667,1196,0.5,47
4,4,217,161,0.5,47
5,5,3877,203,0.5,47
6,6,91,768,0.5,47
7,7,3024,97,0.5,47
8,8,1838,188,0.5,47
9,9,3711,277,0.5,47
10,10,1656,428,0.5,47
11,11,4003,425,0.5,47
12,12,606,1682,0.5,47
13,13,1626,28,0.5,47
14,14,163,683,0.5,47
15,15,1260,348,0.5,47
16,16,358,615,0.5,47
17,17,2553,299,0.5,47
18,18,721,669,0.5,47
19,19,883,70,0.5,47
20,20,815,960,0.5,47
21,21,1267,2010,0.5,47
22,22,804,729,0.5,47
23,23,1726,1647,0.5,47
24,24,1661,1851,0.5,47
25,25,931,100,0.5,47
26,26,816,140,0.5,47
27,27,940,1359,0.5,47
28,28,10071,152,0.5,47
29,29,3989,457,0.5,47
