synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,4266,903,1.0,19
1,1,1235,585,1.0,19
2,2,1878,264,1.0,19
3,3,1147,985,1.0,19
4,4,802,225,1.0,19
5,5,2045,108,1.0,19
6,6,1763,132,1.0,19
7,7,755,237,1.0,19
8,8,1752,358,1.0,19
9,9,2110,473,1.0,19
10,10,582,237,1.0,19
11,11,2094,2035,1.0,19
12,12,1541,276,1.0,19
13,13,3642,2145,1.0,19
14,14,3716,669,1.0,19
15,15,1438,517,1.0,19
16,16,1175,348,1.0,19
17,17,1471,1003,1.0,19
18,18,738,633,1.0,19
19,19,147,576,1.0,19
20,20,2991,586,1.0,19
21,21,1407,232,1.0,19
22,22,6013,1014,1.0,19
23,23,1123,238,1.0,19
24,24,1053,423,1.0,19
25,25,701,456,1.0,19
26,26,1519,246,1.0,19
27,27,1550,571,1.0,19
28,28,1587,814,1.0,19
29,29,2612,999,1.0,19
