synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,2093,344,1.0,43
1,1,796,484,1.0,43
2,2,730,467,1.0,43
3,3,702,708,1.0,43
4,4,272,217,1.0,43
5,5,893,1548,1.0,43
6,6,618,449,1.0,43
7,7,5135,846,1.0,43
8,8,177,303,1.0,43
9,9,2067,514,1.0,43
10,10,2684,225,1.0,43
11,11,7407,398,1.0,43
12,12,1492,1027,1.0,43
13,13,581,866,1.0,43
14,14,2166,767,1.0,43
15,15,1017,1995,1.0,43
16,16,2576,69,1.0,43
17,17,4720,904,1.0,43
18,18,1833,186,1.0,43
19,19,2485,274,1.0,43
20,20,861,41,1.0,43
21,21,3370,956,1.0,43
22,22,2036,184,1.0,43
23,23,1174,1173,1.0,43
24,24,360,701,1.0,43
25,25,994,745,1.0,43
26,26,849,660,1.0,43
27,27,898,355,1.0,43
28,28,3163,458,1.0,43
29,29,704,424,1.0,43
