synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,1829,610,infinity,31
1,1,1829,610,infinity,31
2,2,1829,610,infinity,31
3,3,1829,610,infinity,31
4,4,1829,610,infinity,31
5,5,1829,610,infinity,31
6,6,1829,610,infinity,31
7,7,1829,610,infinity,31
8,8,1829,610,infinity,31
9,9,1829,610,infinity,31
10,10,1829,610,infinity,31
11,11,1829,610,infinity,31
12,12,1829,610,infinity,31
13,13,1828,610,infinity,31
14,14,1828,610,infinity,31
15,15,1828,610,infinity,31
16,16,1828,610,infinity,31
17,17,1828,610,infinity,31
18,18,1828,609,infinity,31
19,19,1828,609,infinity,31
20,20,1828,609,infinity,31
21,21,1828,609,infinity,31
22,22,1828,609,infinity,31
23,23,1828,609,infinity,31
24,24,1828,609,infinity,31
25,25,1828,609,infinity,31
26,26,1828,609,infinity,31
27,27,1828,609,infinity,31
28,28,1828,609,infinity,31
29,29,1828,609,infinity,31
