synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,1829,610,infinity,47
1,1,1829,610,infinity,47
2,2,1829,610,infinity,47
3,3,1829,610,infinity,47
4,4,1829,610,infinity,47
5,5,1829,610,infinity,47
6,6,1829,610,infinity,47
7,7,1829,610,infinity,47
8,8,1829,610,infinity,47
9,9,1829,610,infinity,47
10,10,1829,610,infinity,47
11,11,1829,610,infinity,47
12,12,1829,610,infinity,47
13,13,1828,610,infinity,47
14,14,1828,610,infinity,47
15,15,1828,610,infinity,47
16,16,1828,610,infinity,47
17,17,1828,610,infinity,47
18,18,1828,609,infinity,47
19,19,1828,609,infinity,47
20,20,1828,609,infinity,47
21,21,1828,609,infinity,47
22,22,1828,609,infinity,47
23,23,1828,609,infinity,47
24,24,1828,609,infinity,47
25,25,1828,609,infinity,47
26,26,1828,609,infinity,47
27,27,1828,609,infinity,47
28,28,1828,609,infinity,47
29,29,1828,609,infinity,47
