synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,1829,610,infinity,11
1,1,1829,610,infinity,11
2,2,1829,610,infinity,11
3,3,1829,610,infinity,11
4,4,1829,610,infinity,11
5,5,1829,610,infinity,11
6,6,1829,610,infinity,11
7,7,1829,610,infinity,11
8,8,1829,610,infinity,11
9,9,1829,610,infinity,11
10,10,1829,610,infinity,11
11,11,1829,610,infinity,11
12,12,1829,610,infinity,11
13,13,1828,610,infinity,11
14,14,1828,610,infinity,11
15,15,1828,610,infinity,11
16,16,1828,610,infinity,11
17,17,1828,610,infinity,11
18,18,1828,609,infinity,11
19,19,1828,609,infinity,11
20,20,1828,609,infinity,11
21,21,1828,609,infinity,11
22,22,1828,609,infinity,11
23,23,1828,609,infinity,11
24,24,1828,609,infinity,11
25,25,1828,609,infinity,11
26,26,1828,609,infinity,11
27,27,1828,609,infinity,11
28,28,1828,609,infinity,11
29,29,1828,609,infinity,11
