synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,1829,610,infinity,7
1,1,1829,610,infinity,7
2,2,1829,610,infinity,7
3,3,1829,610,infinity,7
4,4,1829,610,infinity,7
5,5,1829,610,infinity,7
6,6,1829,610,infinity,7
7,7,1829,610,infinity,7
8,8,1829,610,infinity,7
9,9,1829,610,infinity,7
10,10,1829,610,infinity,7
11,11,1829,610,infinity,7
12,12,1829,610,infinity,7
13,13,1828,610,infinity,7
14,14,1828,610,infinity,7
15,15,1828,610,infinity,7
16,16,1828,610,infinity,7
17,17,1828,610,infinity,7
18,18,1828,609,infinity,7
19,19,1828,609,infinity,7
20,20,1828,609,infinity,7
21,21,1828,609,infinity,7
22,22,1828,609,infinity,7
23,23,1828,609,infinity,7
24,24,1828,609,infinity,7
25,25,1828,609,infinity,7
26,26,1828,609,infinity,7
27,27,1828,609,infinity,7
28,28,1828,609,infinity,7
29,29,1828,609,infinity,7
