synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,776,49,0.5,31
1,1,557,576,0.5,31
2,2,461,1063,0.5,31
3,3,1209,7,0.5,31
4,4,2763,1346,0.5,31
5,5,1474,58,0.5,31
6,6,1173,426,0.5,31
7,8,192,150,0.5,31
8,9,4436,58,0.5,31
9,10,6220,10,0.5,31
10,11,136,1036,0.5,31
11,12,727,671,0.5,31
12,13,344,200,0.5,31
13,14,7958,36,0.5,31
14,15,27,818,0.5,31
15,16,1225,321,0.5,31
16,17,2706,787,0.5,31
17,18,276,49,0.5,31
18,19,740,173,0.5,31
19,20,3869,86,0.5,31
20,21,462,245,0.5,31
21,22,629,2685,0.5,31
22,23,188,714,0.5,31
23,24,1842,336,0.5,31
24,25,788,623,0.5,31
25,26,708,155,0.5,31
26,27,2684,377,0.5,31
27,28,1953,2939,0.5,31
28,29,2593,2293,0.5,31
