synthetic_client_id,original_slot,train_rows,test_rows,beta,seed
0,0,26,765,0.5,37
1,2,83,93,0.5,37
2,3,592,147,0.5,37
3,4,4713,225,0.5,37
4,5,1148,113,0.5,37
5,6,300,1472,0.5,37
6,7,33,172,0.5,37
7,8,5959,224,0.5,37
8,9,104,76,0.5,37
9,10,1043,65,0.5,37
10,11,1970,298,0.5,37
11,12,2058,921,0.5,37
12,13,3094,228,0.5,37
13,14,3131,2032,0.5,37
14,15,448,203,0.5,37
15,16,408,36,0.5,37
16,17,4222,135,0.5,37
17,18,553,71,0.5,37
18,19,2344,259,0.5,37
19,20,7300,196,0.5,37
20,21,1505,1950,0.5,37
21,22,20,1823,0.5,37
22,23,1364,205,0.5,37
23,24,1334,244,0.5,37
24,25,984,386,0.5,37
25,26,3857,1620,0.5,37
26,27,989,2635,0.5,37
27,28,248,1367,0.5,37
28,29,4980,326,0.5,37
