client_id,activity,count,proportion
1,WALKING,95,0.2737752161383285
1,WALKING_UPSTAIRS,53,0.15273775216138327
1,WALKING_DOWNSTAIRS,49,0.14121037463976946
1,SITTING,47,0.13544668587896252
1,STANDING,53,0.15273775216138327
1,LAYING,50,0.1440922190201729
2,WALKING,59,0.19536423841059603
2,WALKING_UPSTAIRS,48,0.15894039735099338
2,WALKING_DOWNSTAIRS,47,0.15562913907284767
2,SITTING,46,0.152317880794702
2,STANDING,54,0.17880794701986755
2,LAYING,48,0.15894039735099338
3,WALKING,58,0.17008797653958943
3,WALKING_UPSTAIRS,59,0.17302052785923755
3,WALKING_DOWNSTAIRS,49,0.1436950146627566
3,SITTING,52,0.15249266862170088
3,STANDING,61,0.17888563049853373
3,LAYING,62,0.18181818181818182
4,WALKING,60,0.1892744479495268
4,WALKING_UPSTAIRS,52,0.1640378548895899
4,WALKING_DOWNSTAIRS,45,0.14195583596214512
4,SITTING,50,0.15772870662460567
4,STANDING,56,0.17665615141955837
4,LAYING,54,0.17034700315457413
5,WALKING,56,0.18543046357615894
5,WALKING_UPSTAIRS,47,0.15562913907284767
5,WALKING_DOWNSTAIRS,47,0.15562913907284767
5,SITTING,44,0.1456953642384106
5,STANDING,56,0.18543046357615894
5,LAYING,52,0.17218543046357615
6,WALKING,57,0.1753846153846154
6,WALKING_UPSTAIRS,51,0.15692307692307692
6,WALKING_DOWNSTAIRS,48,0.1476923076923077
6,SITTING,55,0.16923076923076924
6,STANDING,57,0.1753846153846154
6,LAYING,57,0.1753846153846154
7,WALKING,57,0.18506493506493507
7,WALKING_UPSTAIRS,51,0.16558441558441558
7,WALKING_DOWNSTAIRS,47,0.1525974025974026
7,SITTING,48,0.15584415584415584
7,STANDING,53,0.17207792207792208
7,LAYING,52,0.16883116883116883
8,WALKING,48,0.1708185053380783
8,WALKING_UPSTAIRS,41,0.14590747330960854
8,WALKING_DOWNSTAIRS,38,0.13523131672597866
8,SITTING,46,0.16370106761565836
8,STANDING,54,0.19217081850533807
8,LAYING,54,0.19217081850533807
9,WALKING,52,0.18055555555555555
9,WALKING_UPSTAIRS,49,0.1701388888888889
9,WALKING_DOWNSTAIRS,42,0.14583333333333334
9,SITTING,50,0.1736111111111111
9,STANDING,45,0.15625
9,LAYING,50,0.1736111111111111
10,WALKING,53,0.18027210884353742
10,WALKING_UPSTAIRS,47,0.1598639455782313
10,WALKING_DOWNSTAIRS,38,0.1292517006802721
10,SITTING,54,0.1836734693877551
10,STANDING,44,0.14965986394557823
10,LAYING,58,0.19727891156462585
11,WALKING,59,0.18670886075949367
11,WALKING_UPSTAIRS,54,0.17088607594936708
11,WALKING_DOWNSTAIRS,46,0.14556962025316456
11,SITTING,53,0.16772151898734178
11,STANDING,47,0.14873417721518986
11,LAYING,57,0.18037974683544303
12,WALKING,50,0.15625
12,WALKING_UPSTAIRS,52,0.1625
12,WALKING_DOWNSTAIRS,46,0.14375
12,SITTING,51,0.159375
12,STANDING,61,0.190625
12,LAYING,60,0.1875
13,WALKING,57,0.1743119266055046
13,WALKING_UPSTAIRS,55,0.16819571865443425
13,WALKING_DOWNSTAIRS,47,0.1437308868501529
13,SITTING,49,0.14984709480122324
13,STANDING,57,0.1743119266055046
13,LAYING,62,0.18960244648318042
14,WALKING,59,0.1826625386996904
14,WALKING_UPSTAIRS,54,0.16718266253869968
14,WALKING_DOWNSTAIRS,45,0.1393188854489164
14,SITTING,54,0.16718266253869968
14,STANDING,60,0.18575851393188855
14,LAYING,51,0.15789473684210525
15,WALKING,54,0.16463414634146342
15,WALKING_UPSTAIRS,48,0.14634146341463414
15,WALKING_DOWNSTAIRS,42,0.12804878048780488
15,SITTING,59,0.1798780487804878
15,STANDING,53,0.16158536585365854
15,LAYING,72,0.21951219512195122
16,WALKING,51,0.13934426229508196
16,WALKING_UPSTAIRS,51,0.13934426229508196
16,WALKING_DOWNSTAIRS,47,0.1284153005464481
16,SITTING,69,0.1885245901639344
16,STANDING,78,0.21311475409836064
16,LAYING,70,0.1912568306010929
17,WALKING,61,0.16576086956521738
17,WALKING_UPSTAIRS,48,0.13043478260869565
17,WALKING_DOWNSTAIRS,46,0.125
17,SITTING,64,0.17391304347826086
17,STANDING,78,0.21195652173913043
17,LAYING,71,0.19293478260869565
18,WALKING,56,0.15384615384615385
18,WALKING_UPSTAIRS,58,0.15934065934065933
18,WALKING_DOWNSTAIRS,55,0.1510989010989011
18,SITTING,57,0.1565934065934066
18,STANDING,73,0.20054945054945056
18,LAYING,65,0.17857142857142858
19,WALKING,52,0.14444444444444443
19,WALKING_UPSTAIRS,40,0.1111111111111111
19,WALKING_DOWNSTAIRS,39,0.10833333333333334
19,SITTING,73,0.20277777777777778
19,STANDING,73,0.20277777777777778
19,LAYING,83,0.23055555555555557
20,WALKING,51,0.1440677966101695
20,WALKING_UPSTAIRS,51,0.1440677966101695
20,WALKING_DOWNSTAIRS,45,0.1271186440677966
20,SITTING,66,0.1864406779661017
20,STANDING,73,0.2062146892655367
20,LAYING,68,0.192090395480226
21,WALKING,52,0.12745098039215685
21,WALKING_UPSTAIRS,47,0.11519607843137254
21,WALKING_DOWNSTAIRS,45,0.11029411764705882
21,SITTING,85,0.20833333333333334
21,STANDING,89,0.2181372549019608
21,LAYING,90,0.22058823529411764
22,WALKING,46,0.14330218068535824
22,WALKING_UPSTAIRS,42,0.1308411214953271
22,WALKING_DOWNSTAIRS,36,0.11214953271028037
22,SITTING,62,0.19314641744548286
22,STANDING,63,0.19626168224299065
22,LAYING,72,0.22429906542056074
23,WALKING,59,0.1586021505376344
23,WALKING_UPSTAIRS,51,0.13709677419354838
23,WALKING_DOWNSTAIRS,54,0.14516129032258066
23,SITTING,68,0.1827956989247312
23,STANDING,68,0.1827956989247312
23,LAYING,72,0.1935483870967742
24,WALKING,58,0.15223097112860892
24,WALKING_UPSTAIRS,59,0.15485564304461943
24,WALKING_DOWNSTAIRS,55,0.14435695538057744
24,SITTING,68,0.1784776902887139
24,STANDING,69,0.18110236220472442
24,LAYING,72,0.1889763779527559
25,WALKING,74,0.18092909535452323
25,WALKING_UPSTAIRS,65,0.15892420537897312
25,WALKING_DOWNSTAIRS,58,0.14180929095354522
25,SITTING,65,0.15892420537897312
25,STANDING,74,0.18092909535452323
25,LAYING,73,0.1784841075794621
26,WALKING,59,0.15051020408163265
26,WALKING_UPSTAIRS,55,0.14030612244897958
26,WALKING_DOWNSTAIRS,50,0.12755102040816327
26,SITTING,78,0.1989795918367347
26,STANDING,74,0.18877551020408162
26,LAYING,76,0.19387755102040816
27,WALKING,57,0.15159574468085107
27,WALKING_UPSTAIRS,51,0.1356382978723404
27,WALKING_DOWNSTAIRS,44,0.11702127659574468
27,SITTING,70,0.18617021276595744
27,STANDING,80,0.2127659574468085
27,LAYING,74,0.19680851063829788
28,WALKING,54,0.14136125654450263
28,WALKING_UPSTAIRS,51,0.13350785340314136
28,WALKING_DOWNSTAIRS,46,0.12041884816753927
28,SITTING,72,0.18848167539267016
28,STANDING,79,0.20680628272251309
28,LAYING,80,0.2094240837696335
29,WALKING,53,0.15406976744186046
29,WALKING_UPSTAIRS,49,0.14244186046511628
29,WALKING_DOWNSTAIRS,48,0.13953488372093023
29,SITTING,60,0.1744186046511628
29,STANDING,65,0.18895348837209303
29,LAYING,69,0.2005813953488372
30,WALKING,65,0.16971279373368145
30,WALKING_UPSTAIRS,65,0.16971279373368145
30,WALKING_DOWNSTAIRS,62,0.1618798955613577
30,SITTING,62,0.1618798955613577
30,STANDING,59,0.15404699738903394
30,LAYING,70,0.18276762402088773
